ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,39,C:\Windows\system32\SearchProtocolHost.exe,2009-07-14 01:39:37+00:00,Yes,False,win7_files\SYSTEM
2,40,C:\Windows\system32\SearchFilterHost.exe,2009-07-14 01:39:37+00:00,Yes,True,win7_files\SYSTEM
1,58,C:\Windows\system32\services.exe,2009-07-14 01:39:37+00:00,Yes,False,win7_files\SYSTEM
2,19,C:\Windows\system32\SnippingTool.exe,2009-07-14 01:39:41+00:00,No,True,win7_files\SYSTEM
1,19,C:\Windows\system32\SnippingTool.exe,2009-07-14 01:39:41+00:00,No,False,win7_files\SYSTEM
1,11,C:\Windows\system32\StikyNot.exe,2009-07-14 01:39:46+00:00,No,False,win7_files\SYSTEM
2,11,C:\Windows\system32\StikyNot.exe,2009-07-14 01:39:46+00:00,No,True,win7_files\SYSTEM
2,35,C:\Windows\System32\svchost.exe,2009-07-14 01:39:46+00:00,Yes,True,win7_files\SYSTEM
1,35,C:\Windows\System32\svchost.exe,2009-07-14 01:39:46+00:00,Yes,False,win7_files\SYSTEM
1,89,C:\Windows\System32\unregmp2.exe,2009-07-14 01:39:48+00:00,Yes,False,win7_files\SYSTEM
2,89,C:\Windows\System32\unregmp2.exe,2009-07-14 01:39:48+00:00,Yes,True,win7_files\SYSTEM
2,90,C:\Program Files\Windows Mail\WinMail.exe,2009-07-14 01:39:53+00:00,Yes,True,win7_files\SYSTEM
1,90,C:\Program Files\Windows Mail\WinMail.exe,2009-07-14 01:39:53+00:00,Yes,False,win7_files\SYSTEM
2,67,C:\Windows\system32\wbem\WMIADAP.EXE,2009-07-14 01:39:55+00:00,Yes,True,win7_files\SYSTEM
1,67,C:\Windows\system32\wbem\WMIADAP.EXE,2009-07-14 01:39:55+00:00,Yes,False,win7_files\SYSTEM
2,16,C:\Windows\system32\xpsrchvw.exe,2009-07-14 01:39:59+00:00,No,True,win7_files\SYSTEM
1,16,C:\Windows\system32\xpsrchvw.exe,2009-07-14 01:39:59+00:00,No,False,win7_files\SYSTEM
1,49,C:\Windows\System32\EhStorShell.dll,2009-07-14 01:40:36+00:00,No,False,win7_files\SYSTEM
2,49,C:\Windows\System32\EhStorShell.dll,2009-07-14 01:40:36+00:00,No,True,win7_files\SYSTEM
2,3,C:\Windows\System32\sendmail.dll,2009-07-14 01:41:53+00:00,No,True,win7_files\SYSTEM
1,61,C:\Windows\System32\PhotoMetadataHandler.dll,2009-07-14 01:41:53+00:00,No,False,win7_files\SYSTEM
1,3,C:\Windows\System32\sendmail.dll,2009-07-14 01:41:53+00:00,No,False,win7_files\SYSTEM
2,61,C:\Windows\System32\PhotoMetadataHandler.dll,2009-07-14 01:41:53+00:00,No,True,win7_files\SYSTEM
1,85,C:\Program Files\Common Files\System\wab32.dll,2009-07-14 01:41:56+00:00,No,False,win7_files\SYSTEM
2,85,C:\Program Files\Common Files\System\wab32.dll,2009-07-14 01:41:56+00:00,No,True,win7_files\SYSTEM
1,43,C:\Windows\System32\prnfldr.dll,2010-11-21 03:23:48+00:00,No,False,win7_files\SYSTEM
